"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","Temple",68.2992,209,68.9231,148,96.4081,268,101.267,188,100.674,151,98.7313,108,2.53607,137
"2021","Tennessee",68.813,186,67.285,233,105.227,90,108.94,70,91.6883,13,87.7899,4,21.1498,21
"2021","Tennessee Martin",68.3997,202,67.6709,221,92.9488,314,92.3649,320,112.088,334,113.044,346,-20.6786,347
"2021","Tennessee St.",72.301,50,71.4474,48,92.1716,318,90.3616,339,101.561,176,104.606,223,-14.2445,318
"2021","Tennessee Tech",70.1558,127,69.077,142,94.5294,292,96.1931,280,108.993,314,109.659,313,-13.4656,313
"2021","Texas",69.609,155,69.1872,138,106.848,65,113.913,22,97.8468,77,93.3134,35,20.5994,26
"2021","Texas A&M",66.1028,306,64.6143,335,97.2001,253,101.783,181,101.439,169,98.8393,112,2.94373,134
"2021","Texas A&M Corpus Chris",70.8827,98,69.8608,108,89.4926,337,89.1229,347,104.56,251,108.772,304,-19.6489,346
"2021","Texas Southern",72.8865,35,71.6817,47,99.7905,197,99.2809,230,95.0394,42,104.425,220,-5.14386,220
"2021","Texas St.",63.5555,343,62.7448,353,101.4,169,99.3809,229,95.5963,47,100.822,143,-1.44126,185
"2021","Texas Tech",66.9686,279,65.3429,316,107.923,54,112.464,33,93.8813,24,91.4588,24,21.0054,23
"2021","The Citadel",74.4732,13,74.4842,5,103.951,113,104.044,132,110.458,328,108.802,306,-4.75753,213
"2021","Toledo",70.2215,122,68.947,146,114.061,6,114.392,17,102.039,190,102.075,175,12.317,68
"2021","Towson",66.9114,280,66.0707,297,99.27,208,99.2122,232,111.053,332,111.047,330,-11.8345,297
"2021","Troy",69.5149,161,68.5666,168,90.966,330,92.2911,322,102.826,214,104.643,225,-12.3519,303
"2021","Tulane",67.7668,235,67.613,224,94.4392,295,99.4393,228,98.3055,88,97.9173,94,1.52198,147
"2021","Tulsa",67.131,273,65.7973,306,96.7873,263,102.374,169,98.7836,100,97.7382,92,4.63563,125
"2021","UAB",67.7806,233,67.2788,234,103.67,120,103.512,145,90.1193,7,95.0528,56,8.45911,97
"2021","UC Davis",70.3496,117,69.4698,122,98.1142,231,97.4067,257,100.167,137,102.658,184,-5.25161,222
"2021","UC Irvine",68.1046,219,67.6454,223,99.6582,203,100.603,204,93.2185,21,93.9264,46,6.67674,110
